2020-09-07 19:10:24.901  INFO 15940 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2020-09-07 19:10:24.901  INFO 15940 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2020-09-07 19:10:24.902  INFO 15940 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2020-09-07 19:10:25.174  INFO 15940 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : The response status is 200
2020-09-07 19:10:25.183  INFO 15940 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2020-09-07 19:10:25.188  INFO 15940 --- [restartedMain] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-09-07 19:10:25.195  INFO 15940 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1599486025194 with initial instances count: 1
2020-09-07 19:10:25.206  INFO 15940 --- [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application DEPARTMENT-SERVICE with eureka with status UP
2020-09-07 19:10:25.208  INFO 15940 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1599486025208, current=UP, previous=STARTING]
2020-09-07 19:10:25.237  INFO 15940 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_DEPARTMENT-SERVICE/LAPTOP-LIP6DHCR:department-service:8081: registering service...
2020-09-07 19:10:25.271  INFO 15940 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path ''
2020-09-07 19:10:25.281  INFO 15940 --- [restartedMain] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8081
2020-09-07 19:10:25.465  INFO 15940 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_DEPARTMENT-SERVICE/LAPTOP-LIP6DHCR:department-service:8081 - registration status: 204
2020-09-07 19:10:26.256  INFO 15940 --- [restartedMain] DeferredRepositoryInitializationListener : Triggering deferred initialization of Spring Data repositories…
2020-09-07 19:10:26.807  INFO 15940 --- [restartedMain] DeferredRepositoryInitializationListener : Spring Data repositories initialized!
2020-09-07 19:10:26.829  INFO 15940 --- [restartedMain] com.rest.DepartmentApplication           : Started DepartmentApplication in 16.274 seconds (JVM running for 17.413)
2020-09-07 19:15:12.250  INFO 15940 --- [http-nio-8081-exec-9] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-07 19:15:12.250  INFO 15940 --- [http-nio-8081-exec-9] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2020-09-07 19:15:12.273  INFO 15940 --- [http-nio-8081-exec-9] o.s.web.servlet.DispatcherServlet        : Completed initialization in 22 ms
2020-09-07 19:15:12.358  INFO 15940 --- [http-nio-8081-exec-9] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:15:12.359  INFO 15940 --- [http-nio-8081-exec-9] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:15:14.176  INFO 15940 --- [http-nio-8081-exec-10] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:15:14.177  INFO 15940 --- [http-nio-8081-exec-10] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:15:19.942  INFO 15940 --- [http-nio-8081-exec-7] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:15:19.943  INFO 15940 --- [http-nio-8081-exec-7] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:15:22.308  INFO 15940 --- [http-nio-8081-exec-5] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:15:22.309  INFO 15940 --- [http-nio-8081-exec-5] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:15:24.907  INFO 15940 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-07 19:15:41.924  INFO 15940 --- [http-nio-8081-exec-3] c.rest.controller.DepartmentController   : From Department application departmentController addDepartment
2020-09-07 19:15:41.924  INFO 15940 --- [http-nio-8081-exec-3] com.rest.service.DepartmentServiceImpl   : From Department application department Service insert department
2020-09-07 19:15:42.358  INFO 15940 --- [http-nio-8081-exec-4] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:15:42.358  INFO 15940 --- [http-nio-8081-exec-4] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:15:44.928  INFO 15940 --- [http-nio-8081-exec-1] c.rest.controller.DepartmentController   : From Department application departmentController getById
2020-09-07 19:15:44.928  INFO 15940 --- [http-nio-8081-exec-1] com.rest.service.DepartmentServiceImpl   : From Department application department Service get department by id
2020-09-07 19:15:54.825  INFO 15940 --- [http-nio-8081-exec-2] c.rest.controller.DepartmentController   : From Department application departmentController updateDepartment
2020-09-07 19:15:54.825  INFO 15940 --- [http-nio-8081-exec-2] com.rest.service.DepartmentServiceImpl   : From Department application department Service update department
2020-09-07 19:15:56.668  INFO 15940 --- [http-nio-8081-exec-8] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:15:56.669  INFO 15940 --- [http-nio-8081-exec-8] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:15:59.902  INFO 15940 --- [http-nio-8081-exec-6] c.rest.controller.DepartmentController   : From Department application departmentController deleteById
2020-09-07 19:15:59.903  INFO 15940 --- [http-nio-8081-exec-6] com.rest.service.DepartmentServiceImpl   : From Department application department Service delete department by id
2020-09-07 19:15:59.970  INFO 15940 --- [http-nio-8081-exec-9] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:15:59.971  INFO 15940 --- [http-nio-8081-exec-9] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:16:04.840  INFO 15940 --- [http-nio-8081-exec-10] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:16:04.841  INFO 15940 --- [http-nio-8081-exec-10] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:16:04.872  INFO 15940 --- [http-nio-8081-exec-7] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:16:04.872  INFO 15940 --- [http-nio-8081-exec-7] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:16:07.595  INFO 15940 --- [http-nio-8081-exec-5] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:16:07.595  INFO 15940 --- [http-nio-8081-exec-5] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:16:33.118  INFO 15940 --- [http-nio-8081-exec-3] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:16:33.119  INFO 15940 --- [http-nio-8081-exec-3] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:16:47.194  INFO 15940 --- [http-nio-8081-exec-4] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:16:47.195  INFO 15940 --- [http-nio-8081-exec-4] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:16:52.017  INFO 15940 --- [http-nio-8081-exec-1] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:16:52.018  INFO 15940 --- [http-nio-8081-exec-1] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:16:56.294  INFO 15940 --- [http-nio-8081-exec-2] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:16:56.294  INFO 15940 --- [http-nio-8081-exec-2] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:16:56.323  INFO 15940 --- [http-nio-8081-exec-8] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:16:56.324  INFO 15940 --- [http-nio-8081-exec-8] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:17:02.385  INFO 15940 --- [http-nio-8081-exec-6] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:17:02.386  INFO 15940 --- [http-nio-8081-exec-6] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:17:12.418  INFO 15940 --- [http-nio-8081-exec-9] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:17:12.419  INFO 15940 --- [http-nio-8081-exec-9] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:17:33.819  INFO 15940 --- [http-nio-8081-exec-10] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:17:33.820  INFO 15940 --- [http-nio-8081-exec-10] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:17:49.527  INFO 15940 --- [http-nio-8081-exec-7] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:17:49.527  INFO 15940 --- [http-nio-8081-exec-7] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
2020-09-07 19:17:58.002  INFO 15940 --- [http-nio-8081-exec-5] c.rest.controller.DepartmentController   : From Department application departmentController getAllDepartment Details
2020-09-07 19:17:58.003  INFO 15940 --- [http-nio-8081-exec-5] com.rest.service.DepartmentServiceImpl   : From Department application department Service get all department details
